Name,Capacity,Color,Grade,Qty,Cost
A94 5G,128GB,,A,1,0
FIND X2 Neo ,256GB,,A,1,0
Find X3 Pro ,256GB,,C,1,0
Find X5,256GB,,C,1,0
HUAWEI MATE 9 MHA-L29,64GB,,C,1,0
Mate 20Pro LYA-L29,128GB,,A,1,0
Mate 20Pro LYA-L29,128GB,,C,2,0
Mate 40 Pro NOH-NX9,256GB,,C,1,0
MI 10 LITE 5G M2002J9G,128GB,,C,1,0
Mi 10T Pro 5G,256GB,,A,1,0
MI 11T 5G DS,128GB,,A,1,0
MI NOTE 10,128GB,,C,1,0
Oneplus 7 T HD1903,128GB,,A,2,0
Oneplus 8 (in 2023) IN2013,128GB,,A,1,0
Oneplus 8 Pro (in2023) IN2025,128GB,,C,1,0
Oneplus 9 LE2113,128GB,,C,1,0
Oneplus 9 Pro LE2123,128GB,,A,1,0
Oneplus 9 Pro LE2123,256GB,,A,1,0
Oneplus 9 Pro LE2123,256GB,,C,1,0
Oneplus Nord 2 DN2103,128GB,,A,1,0
Oneplus Nord 5G AC2003,128GB,,A,1,0
Oneplus Nord 5G AC2003,128GB,,B,1,0
Oneplus Nord 5G AC2003,256GB,,C,1,0
P20 Lite ANE-LX1,64GB,,C,1,0
P20 pro CLT-L09,128GB,,C,2,0
P20 pro CLT-L29,128GB,,A,1,0
P30 ELE-L29,128GB,,C,1,0
P30 Pro DS VOG-L29,128GB,,C,2,0
Pixel 4 Pixel 4,64GB,,A,1,0
Pixel 6,128GB,,A,1,0
REDMI 9 Redmi Note 9S,64GB,,C,1,0
Reno 8 Lite 5G,128GB,,C,1,0
Xiaomi 11T Pro,256GB,,A,1,0
Xiaomi 11T Pro,256GB,,C,1,0
